notionPageId,company,website,location,category,reach,pipelineStatus,automationStatus,dataQuality,hasEmail,hasPhone,hasDraft,hasSentMessage,hasReply,hasFollowUpDraft,hasError,sentAt,lastContacted,lastUpdated,followUpCreatedAt,replyDetectedAt,dataSource,automationError
35ef938c-c271-80e9-a8c8-cbbc4fca2359,Napoleonmuseum,https://napoleonmuseum.tg.ch/,,,,Reply,Fehler,Unvollständig,true,false,true,true,false,false,true,2026-05-12T20:09:00.000+00:00,2026-05-12T20:09:00.000+00:00,2026-05-12T19:57:00.000+00:00,,,https://napoleonmuseum.tg.ch/,invalid_grant
364f938c-c271-8059-af07-c0fccd664d02,Naturmuseum St. Gallen,https://naturmuseumsg.ch/,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:06:00.000+00:00,,,https://naturmuseumsg.ch/infos/kontakt/ https://naturmuseumsg.ch/ https://naturmuseumsg.ch/impressum/,invalid_grant
35af938c-c271-8064-b33e-e115aa97a013,Neues Schloss Meersburg,https://www.neues-schloss-meersburg.de/,,,,E-Mail / Contacted,Fehler,Teilweise,true,true,true,true,false,false,true,2026-05-12T20:14:00.000+00:00,2026-05-12T20:14:00.000+00:00,2026-05-12T19:58:00.000+00:00,,,https://www.neues-schloss-meersburg.de/ https://www.neues-schloss-meersburg.de/presse,invalid_grant
355f938c-c271-8040-855a-c2e1cc2f67d3,New Client,,,,,Lead,,,false,false,false,false,false,false,false,,,,,,,
364f938c-c271-8036-a833-fa35e42a4316,New Client,,,,,Lead,,,false,false,false,false,false,false,false,,,,,,,
364f938c-c271-8064-b94d-e281a51f9ded,New Client,,,,,Lead,,,false,false,false,false,false,false,false,,,,,,,
35cf938c-c271-80c4-81b7-d1429e9b10f0,Pfahlbaumuseum Unteruhldingen,https://www.pfahlbauten.de/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-12T23:45:00.000+00:00,,,https://www.pfahlbauten.de/ https://www.pfahlbauten.de/kontakt/ https://www.pfahlbauten.de/impressum/ https://www.pfahlbauten.de/ueber-uns/ https://www.pfahlbauten.de/2020/05/presseinfo-28-05-2020/,invalid_grant
357f938c-c271-8078-b101-e7ef85cc3213,Pfänderbahn AG,https://www.pfaenderbahn.at/,,,,E-Mail / Contacted,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
358f938c-c271-80cb-bfa0-f0812b7bf44b,Planetarium Stuttgart,https://www.planetarium-stuttgart.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
358f938c-c271-80fe-85d4-d73fb2804c2c,Porsche Museum,https://www.porsche.com/germany/aboutporsche/porschemuseum/,,,,E-Mail / Contacted,Fehler,Teilweise,true,true,true,true,false,false,true,2026-05-12T20:01:00.000+00:00,2026-05-12T20:01:00.000+00:00,2026-05-12T18:26:00.000+00:00,,,https://www.porsche.com/germany/aboutporsche/porschemuseum/,invalid_grant
35ef938c-c271-8042-8820-e10be546f785,Race-Inn Roggwil,https://www.race-inn.ch/,,,,E-Mail / Contacted,Fehler,Unvollständig,true,false,true,true,false,false,true,2026-05-12T20:02:00.000+00:00,2026-05-12T20:02:00.000+00:00,2026-05-12T19:52:00.000+00:00,,,https://www.race-inn.ch/,invalid_grant
357f938c-c271-8076-ba27-cbdcc4efaf34,Rheinfall Werner Mändli AG,https://www.maendli.ch/,,,,Closed-Lost,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
358f938c-c271-80f6-920e-c640622b8517,Rulantica,https://www.rulantica.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
364f938c-c271-8087-a038-c8b5569277cd,Schloss Meßkirch,https://www.schloss-messkirch.de/willkommen,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:03:00.000+00:00,,,https://www.schloss-messkirch.de/impressum https://www.schloss-messkirch.de/willkommen https://www.schloss-messkirch.de/kontakt,invalid_grant
358f938c-c271-8076-9dde-f8d4ad2144b4,Schloss Neuschwanstein,https://www.neuschwanstein.de/,,,,Reply,Fehler,Teilweise,true,true,true,true,false,false,true,2026-05-12T18:33:00.000+00:00,2026-05-12T18:33:00.000+00:00,2026-05-12T18:27:00.000+00:00,,,https://www.neuschwanstein.de/,invalid_grant
361f938c-c271-800a-b01b-eb9a7a3b7768,Schloss Tettnang (Montfort),https://www.schloss-tettnang.de/,,,,Lead,Prüfen,Teilweise,false,false,false,false,false,false,false,,,2026-05-15T20:43:00.000+00:00,,,https://www.schloss-tettnang.de/ https://www.schloss-tettnang.de/presse,
357f938c-c271-8054-9e51-f17d195dcc8e,Sealife,https://www.visitsealife.com/konstanz/,,,,E-Mail / Contacted,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
35ef938c-c271-8051-90fb-f347b2a96c93,Seemuseum,https://seemuseum.ch/Ausstellungen,,,,E-Mail / Contacted,Fehler,Vollständig,true,true,true,true,false,false,true,2026-05-12T20:03:00.000+00:00,2026-05-12T20:03:00.000+00:00,2026-05-12T19:53:00.000+00:00,,,https://seemuseum.ch/Ausstellungen https://seemuseum.ch/kontakt https://seemuseum.ch/contact https://seemuseum.ch/impressum https://seemuseum.ch/about https://seemuseum.ch/ueber-uns,invalid_grant
361f938c-c271-8000-863a-db00a5f46dc4,Staatsgalerie Stuttgart,https://www.staatsgalerie.de/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-15T20:42:00.000+00:00,,,https://www.staatsgalerie.de/de/museum/pressebereich https://www.staatsgalerie.de/de https://www.staatsgalerie.de/de/impressum https://www.staatsgalerie.de/de/programm/kitas-und-schulen/kooperationen,invalid_grant
361f938c-c271-80d6-bb98-c3dbf62b9f8e,Stadtmuseum Lindau,https://www.museum-lindau.de/,,,,Lead,Prüfen,Teilweise,false,true,false,false,false,false,false,,,2026-05-15T20:43:00.000+00:00,,,https://kultur.lindau.de/cavazzen-museum/,
